num_figures,avg_jump,jump_std,direction_changes,angle_std,spread_x,spread_y,alignment_x,alignment_y,left_margin,right_margin,top_margin,bottom_margin,mean_x,mean_y,label,image
10,328.8233073547373,136.15681027674088,6,0.998791118947108,606,1401,167.55073858386896,478.28238520773476,309,326,168,186,600.5,947.4,Disorganized Sequence,1.jpg
13,351.92659885437007,218.85041090235262,10,1.127273009769298,816,1390,206.78808865470822,373.84316238119374,240,185,264,101,620.3846153846154,867.5384615384615,Disorganized Sequence,10.jpg
10,254.681117553626,156.75591615797168,5,0.7767248412181612,536,1373,139.88581057419657,434.68788803002093,185,520,268,114,548.4,945.2,Organized Sequence,11.jpg
11,380.62438180521775,214.51708550928018,6,1.1089302692472378,781,1150,244.18699649284835,381.7241875646614,238,222,192,413,515.2727272727273,635.0909090909091,Disorganized Sequence,12.jpg
9,287.91820706487965,131.66427397189068,4,0.9784788231345415,830,1018,257.1225868945745,326.14584331416995,125,286,163,574,440.44444444444446,544.3333333333334,Disorganized Sequence,13.jpg
10,415.5085327488661,157.06082788948015,4,1.218808319706686,906,1137,278.2958857044064,351.0887209808939,140,195,132,486,581.0,499.9,Disorganized Sequence,14.jpg
9,629.2113896703097,198.4481093615098,7,1.2553732336016568,871,1222,363.15116058206223,411.7658450030929,217,153,119,414,669.1111111111111,695.3333333333334,Disorganized Sequence,15.jpg
10,389.22571198907474,139.69892473116005,6,1.0603443915674002,732,1431,235.1416594310757,498.0311636835591,307,202,79,245,651.0,855.6,Disorganized Sequence,16.jpg
9,301.77278504132096,166.2887134125605,3,0.8275649502436653,620,1341,223.44778714555872,451.013180393754,342,279,98,316,555.4444444444445,761.3333333333334,Disorganized Sequence,17.jpg
11,498.98030979998765,215.6282690926873,9,1.1848039677377378,756,1451,277.2300712345149,444.43075300307027,186,299,86,218,532.8181818181819,730.1818181818181,Fixed Sequence,18.jpg
9,220.48487233175186,68.99036942103646,4,0.7437786232508292,296,1288,92.88343949990943,445.87865813220725,183,762,308,159,370.0,916.6666666666666,Organized Sequence,19.jpg
9,238.89454224473818,95.30554908124185,7,0.674059764745824,463,1347,123.2961906032946,453.0889319404233,639,139,142,266,967.7777777777778,790.4444444444445,Organized Sequence,2.jpg
9,422.42014465500904,218.32251690936792,5,1.0054108062940101,758,1343,255.53647271747508,398.1613296698267,278,205,168,244,794.6666666666666,724.6666666666666,Organized Sequence,20.jpg
12,344.66125019409577,169.01152428729716,8,1.2890646133055197,617,1124,199.4771638280655,342.3775835568419,384,240,162,469,726.1666666666666,541.4166666666666,Disorganized Sequence,21.jpg
10,470.0084721539688,113.96701517516544,6,1.2146139316753342,643,1302,249.28275110805404,425.39764926477903,313,285,160,293,658.9,779.8,Disorganized Sequence,22.jpg
9,327.2599905228226,165.31454443878224,4,1.0166506414727232,686,1158,189.2833136848205,331.4355234021234,338,217,386,211,697.7777777777778,954.2222222222222,Disorganized Sequence,23.jpg
11,414.30758074421954,226.21655230745588,7,1.164867164612443,792,1287,279.35876988927623,382.4420012204735,211,238,144,324,613.6363636363636,510.54545454545456,Disorganized Sequence,24.jpg
9,355.015650076155,112.992867920967,6,1.1187859212233662,554,1088,195.07706612617244,361.2426427120423,129,558,187,480,450.77777777777777,595.5555555555555,Organized Sequence,25.jpg
9,496.7883318563672,108.66337161789122,6,1.1802713556370252,755,1334,253.13344940935116,427.20177671059764,252,234,277,144,609.8888888888889,969.4444444444445,Disorganized Sequence,26.jpg
9,597.1209607727022,257.15789547646585,4,1.3208782203828011,1050,859,395.08226991349534,275.3444083504812,246,459,224,158,753.0,788.8888888888889,Confused Sequence,27.jpg
12,334.1136451980281,174.4966248741968,8,1.123509168151085,644,1226,218.14640534894602,400.6980280987445,170,427,148,381,461.75,570.0833333333334,Disorganized Sequence,28.jpg
9,325.3222484518863,110.40520668070481,6,0.9396017699154049,465,1380,161.4832483763342,423.69538323868693,464,312,156,219,638.2222222222222,712.6666666666666,Disorganized Sequence,29.jpg
13,269.5269473220183,155.5585891787206,6,1.2254505048161715,676,1196,210.4608918118721,347.2602318709317,198,367,112,447,535.5384615384615,624.8461538461538,Disorganized Sequence,3.jpg
