epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4985,1.41068,3.49692,1.2744,0.01272,0.22222,0.06834,0.04282,2.06757,3.772,1.69807,8e-05,8e-05,0.09208
2,45.3124,1.26702,2.87001,1.18272,0.00522,0.33333,0.16366,0.11316,1.81715,3.57881,1.54775,0.000166634,0.000166634,0.0831666
3,69.844,1.23116,2.44872,1.17198,0.00458,0.33333,0.16103,0.12001,1.66881,3.47325,1.4524,0.000249704,0.000249704,0.0742497
4,94.3148,1.27402,2.14319,1.20036,0.16519,0.43333,0.26156,0.17709,1.61606,3.4258,1.43015,0.00032921,0.00032921,0.0653292
5,118.198,1.25589,1.94046,1.18301,0.10278,0.61111,0.41037,0.25489,1.59859,3.29809,1.38205,0.000405152,0.000405152,0.0564052
6,141.162,1.20086,1.73837,1.14445,0.07322,0.71111,0.54839,0.34273,1.51551,3.13426,1.34905,0.00047753,0.00047753,0.0474775
7,162.659,1.17925,1.54394,1.16161,0.91455,0.25566,0.69242,0.48298,1.31646,2.60055,1.20655,0.000546344,0.000546344,0.0385463
8,184.675,1.17905,1.4683,1.12611,0.89281,0.70259,0.84532,0.55388,1.3331,1.96766,1.15531,0.000611594,0.000611594,0.0296116
9,219.724,1.24109,1.42771,1.1481,0.92263,0.76551,0.90025,0.55145,1.3916,1.69159,1.16009,0.00067328,0.00067328,0.0206733
10,247.631,1.15468,1.33022,1.13303,0.84593,0.82354,0.9064,0.618,1.20848,1.51961,1.0892,0.000731402,0.000731402,0.0117314
11,276.336,1.15492,1.28774,1.1418,0.85698,0.86216,0.92201,0.68863,0.97896,1.29751,1.0211,0.00078596,0.00078596,0.00278596
12,301.103,1.14721,1.31062,1.14607,0.88346,0.84389,0.9067,0.64833,1.1064,1.24814,1.06378,0.0007822,0.0007822,0.0007822
13,324.479,1.11728,1.21887,1.10682,0.8898,0.8513,0.90989,0.64922,1.13439,1.23318,1.08213,0.0007624,0.0007624,0.0007624
14,347.069,1.10472,1.20423,1.12572,0.9133,0.84514,0.909,0.64577,1.14997,1.20906,1.0899,0.0007426,0.0007426,0.0007426
15,368.666,1.13835,1.16699,1.13466,0.8646,0.88151,0.89839,0.62562,1.20731,1.21059,1.09904,0.0007228,0.0007228,0.0007228
16,390.321,1.13667,1.18275,1.11667,0.8747,0.86205,0.90022,0.62809,1.20173,1.17226,1.07592,0.000703,0.000703,0.000703
17,412.306,1.06086,1.12946,1.09466,0.85954,0.88853,0.9075,0.67044,1.05728,1.10407,1.02934,0.0006832,0.0006832,0.0006832
